1,2,3
1.97982,2.21732,1.97982
2.126336214,2.780144768,2.124464351
2.139266436,3.257117188,2.137362677
2.082239067,3.636964369,2.085927052
1.993023656,3.942894935,2.005601471
1.891529242,4.163298397,1.912231045
1.787114061,4.330691913,1.813157979
1.683573944,4.397278341,1.711996279
1.582089371,4.441273054,1.610583501
1.482765676,4.363321678,1.509846581
1.385349099,4.202343708,1.410223625
1.289519951,4.028631502,1.311884422
1.194992483,3.724031738,1.214850528
1.101536429,3.343340677,1.119061441
1.00897182,2.898295052,1.024410371
0.917157751,2.381801399,0.930762064
0.829142129,1.802882011,0.841119392
0.784338072,1.186786697,0.794855363
0.774010027,0.575877758,0.783880154
0.780815814,0.071063386,0.791313312
0.795943988,0.157749557,0.808344393
0.815020691,0.484645782,0.830373113
0.835921883,0.108053738,0.854996622
0.857638472,0.258533804,0.880960011
0.879702167,0.343463478,0.907608642
0.901901471,0.030124057,0.934602016
0.924144117,0.219954006,0.961764124
0.949551848,0.174950086,0.992165034
0.967048109,0.42097633,1.014660171
0.990044997,0.024771715,1.042767111
1.012659361,0.007828715,1.070464905
1.035062674,0.111016595,1.097958259
1.057350734,0.300065787,1.125350927
1.07381547,0.268523881,1.146936325
1.068638639,0.10307205,1.146780939
1.051215942,0.490304643,1.133868288
1.027828225,0.169713426,1.114384472
1.001630614,0.190050327,1.091584084
0.974169516,0.528581079,1.067170356
0.946183206,0.216217229,1.042026221
0.918013226,0.014903629,1.016601265
0.889810833,0.225700516,0.991116324
0.861638326,0.00324054,0.96567151
0.833517685,0.177258676,0.940303112
0.805453399,0.029798746,0.915013445
0.777442893,0.259444279,0.889786384
0.74948115,0.052085857,0.864595329
0.72156266,0.040796645,0.839407141
0.693682193,0.439150065,0.814183941
0.665835045,0.047893117,0.788883755
0.646297096,0.087252516,0.771740437
0.639207812,0.284814212,0.767019627
0.638301664,0.452898238,0.768687183
0.640383817,0.002009398,0.773603148
0.643862935,0.219600038,0.780136123
0.647964656,0.275553673,0.78744082
0.65840165,0.385583245,0.801161287
0.653725912,0.128425807,0.799850776
0.659659781,0.515084999,0.809031892
0.664875475,0.023071657,0.817478134
0.669683901,0.212922403,0.825488734
0.674263074,0.358070572,0.833223295
0.678711672,0.232229842,0.840768065
0.683083362,0.354825514,0.848170662
0.68740716,0.214395698,0.855458274
0.691698913,0.384194839,0.862647218
0.695847545,0.170644474,0.869627964
0.69835712,0.431972818,0.874830105
0.699546445,0.107651984,0.877570622
0.700078728,0.525618135,0.878162413
0.700298767,0.002375023,0.877164335
0.700378035,0.108368222,0.875068853
0.700398296,0.401767852,0.872234959
0.700396822,0.222437392,0.868901823
0.700389671,0.312836846,0.86522069
0.700383198,0.323961965,0.861284119
0.700379531,0.191986844,0.857147662
0.700379081,0.437072372,0.852844424
0.700381635,0.063166381,0.848394302
0.700386804,0.402594899,0.843809622
0.700394196,0.125741784,0.839098482
0.70040346,0.528596865,0.834266684
0.700414301,0.017728157,0.829318825
0.700106471,0.074958908,0.823938907
0.698602074,0.350985066,0.817379977
0.696429077,0.283851836,0.810583745
0.69392989,0.252317626,0.803902898
0.691273768,0.37306058,0.797376662
0.688543963,0.186420772,0.790952158
0.685781178,0.436687585,0.784564894
0.68300512,0.12780775,0.778162886
0.680225163,0.503888879,0.771710128
0.677445612,0.059041464,0.765183755
0.674668302,0.36005507,0.758570189
0.671893884,0.225201719,0.751861927
0.669122452,0.397549923,0.745055248
0.666353853,0.179960058,0.738148708
0.663587837,0.435355818,0.731142193
0.660824128,0.162937849,0.72403635
0.658062459,0.455479766,0.716832241
0.649542579,0.140007886,0.703771178
0.632371668,0.462896931,0.681193672
0.610901407,0.174765025,0.652515035
0.587364793,0.414080039,0.619922289
0.562876011,0.201042543,0.584748649
0.537975479,0.40087143,0.54777397
0.512917168,0.251525942,0.509434784
0.48781575,0.337756225,0.469960895
0.46272002,0.32008542,0.429460337
0.437648597,0.245841016,0.387970634
0.412606844,0.435856213,0.345489086
0.387594657,0.112711118,0.301990379
0.362609933,0.581695646,0.257436729
0.337650044,0.046091158,0.211783714
0.311712414,0.008916624,0.163983664
0.288293984,0.058736564,0.117413667
0.263472599,0.418135473,0.068351507
0.243102918,0.146803281,0.022588156
0.226276361,0.524461061,0.017678989
0.21120057,0.036069383,0.053101612
0.19695116,0.327594924,0.085207709
0.183070697,0.243558238,0.115407633
0.169342065,0.431519097,0.144763723
0.155667006,0.132270116,0.174015262
0.142003781,0.541927652,0.203664899
0.128336416,0.013549403,0.234061122
0.114660104,0.228623285,0.265460588
0.10097455,0.339309312,0.298070966
0.087281102,0.317680633,0.332079174
0.073581582,0.239464878,0.367669931
0.059877871,0.407578571,0.405038351
0.046171801,0.151577875,0.444399206
0.032465165,0.498316163,0.485994517
0.019399769,0.050179001,0.529460618
0.008738291,0.309074381,0.572896071
0.000560468,0.281250279,0.615320728
0.009199186,0.312318724,0.656255056
0.017533491,0.272441135,0.695559152
0.025737724,0.319451398,0.73326757
0.03389421,0.258898192,0.769495189
0.042039971,0.332360313,0.80438603
0.050190465,0.238840781,0.838087016
0.05835128,0.352728657,0.870735633
0.066523715,0.22131118,0.902455087
0.074707349,0.371188655,0.933353265
0.082901174,0.194936525,0.963523508
0.091104066,0.411852529,0.993046122
0.099314958,0.145605261,1.021990084
0.107532898,0.462857403,1.050414687
0.115757051,0.097855634,1.078371015
0.123446691,0.51299861,1.105363223
0.13033291,0.042000449,1.131461828
0.136824486,0.2904722,1.157506566
0.143126258,0.284079139,1.183785153
0.149339199,0.335441796,1.210371485
0.155512355,0.230300159,1.23726519
0.161669184,0.390195263,1.264445914
0.167820678,0.180612886,1.291892338
0.173971817,0.4510102,1.319587425
0.18012471,0.110256217,1.347518806
0.186280116,0.522796472,1.375677795
0.192438174,0.043562226,1.40405828
0.198598751,0.313214653,1.432655827
0.204761607,0.263391358,1.461467063
0.210926474,0.366076053,1.490489259
0.217093086,0.203293742,1.519720074
0.223321198,0.437620986,1.54921739
0.230361106,0.119535877,1.579827582
0.238053586,0.526227482,1.612708108
0.246066553,0.033306016,1.648037849
0.254227441,0.284340544,1.685429757
0.262450975,0.277266482,1.724444929
0.270697144,0.371227303,1.764738718
0.278948294,0.175671123,1.806075743
0.287197279,0.467837636,1.848307064
0.29544161,0.092029673,1.891342952
0.303680713,0.517500574,1.935131005
0.311914707,0.030001698,1.979640866
0.320143895,0.2421226,2.024854276
0.32836858,0.343248351,2.070758843
0.336589009,0.266408909,2.117344217
0.344805364,0.305380536,2.164599732
0.353017775,0.311474657,2.212512934
0.371386328,0.235773824,2.271228548
0.427859303,0.440552205,2.371611239
0.50586794,0.007392848,2.503383152
0.594333783,0.215714291,2.651144473
0.687712218,0.24327759,2.803981516
0.783297896,0.510058127,2.955720424
0.879803838,0.142275154,3.103493706
0.976635898,0.020753894,3.246364051
1.073531065,0.250751026,3.384379274
1.170380793,0.152718607,3.518013677
1.267146423,0.119603238,3.647871003
1.363819576,0.819103672,3.774542797
1.460404092,0.622382051,3.898551269
1.556908068,0.646554399,4.020334413
1.653340508,0.49147542,4.140250133
1.749710028,0.554696465,4.258608699
